Numeros generados 	 Limite Rango 	 Numero generado
1				360				323
2				359				211
3				358				209
4				357				77
5				356				203
6				355				88
7				354				18
8				353				168
9				352				254
10				351				111
11				350				90
12				349				257
13				348				300
14				347				132
15				346				207
16				345				313
17				344				126
18				343				322
19				342				143
20				341				150
21				340				180
22				339				259
23				338				258
24				337				220
25				336				148
26				335				175
27				334				28
28				333				17
29				332				219
30				331				192
31				330				5
32				329				27
33				328				228
34				327				46
35				326				64
36				325				271
37				324				227
38				323				235
39				322				59
40				321				63
41				320				252
42				319				164
43				318				213
44				317				213
45				316				208
46				315				70
47				314				186
48				313				83
49				312				195
50				311				66
51				310				24
52				309				25
53				308				245
54				307				37
55				306				93
56				305				278
57				304				44
58				303				199
59				302				259
60				301				269
61				300				8
62				299				105
63				298				256
64				297				134
65				296				162
66				295				279
67				294				250
68				293				35
69				292				238
70				291				247
71				290				61
72				289				116
73				288				123
74				287				58
75				286				16
76				285				87
77				284				121
78				283				208
79				282				233
80				281				42
81				280				23
82				279				130
83				278				73
84				277				173
85				276				227
86				275				110
87				274				28
88				273				202
89				272				144
90				271				23
91				270				4
92				269				87
93				268				247
94				267				117
95				266				97
96				265				141
97				264				178
98				263				57
99				262				78
100				261				189
101				260				0
102				259				26
103				258				106
104				257				204
105				256				179
106				255				96
107				254				45
108				253				56
109				252				95
110				251				192
111				250				177
112				249				185
113				248				231
114				247				14
115				246				191
116				245				72
117				244				55
118				243				158
119				242				226
120				241				172
121				240				197
122				239				196
123				238				236
124				237				82
125				236				184
126				235				181
127				234				190
128				233				155
129				232				222
130				231				18
131				230				185
132				229				62
133				228				195
134				227				169
135				226				62
136				225				46
137				224				81
138				223				128
139				222				119
140				221				166
141				220				41
142				219				47
143				218				37
144				217				127
145				216				94
146				215				59
147				214				34
148				213				205
149				212				141
150				211				78
151				210				34
152				209				33
153				208				141
154				207				169
155				206				155
156				205				20
157				204				153
158				203				137
159				202				163
160				201				131
161				200				52
162				199				31
163				198				140
164				197				102
165				196				61
166				195				154
167				194				20
168				193				139
169				192				79
170				191				153
171				190				115
172				189				23
173				188				100
174				187				27
175				186				166
176				185				132
177				184				79
178				183				37
179				182				9
180				181				118
181				180				12
182				179				175
183				178				36
184				177				154
185				176				142
186				175				8
187				174				156
188				173				98
189				172				80
190				171				72
191				170				100
192				169				0
193				168				167
194				167				122
195				166				114
196				165				30
197				164				43
198				163				115
199				162				148
200				161				68
201				160				0
202				159				37
203				158				129
204				157				150
205				156				88
206				155				128
207				154				70
208				153				125
209				152				56
210				151				27
211				150				5
212				149				50
213				148				89
214				147				131
215				146				51
216				145				80
217				144				91
218				143				121
219				142				43
220				141				43
221				140				13
222				139				54
223				138				94
224				137				2
225				136				19
226				135				35
227				134				68
228				133				131
229				132				60
230				131				111
231				130				2
232				129				81
233				128				23
234				127				45
235				126				120
236				125				88
237				124				89
238				123				22
239				122				38
240				121				55
241				120				69
242				119				34
243				118				75
244				117				24
245				116				76
246				115				103
247				114				59
248				113				110
249				112				56
250				111				103
251				110				88
252				109				12
253				108				101
254				107				17
255				106				39
256				105				85
257				104				36
258				103				99
259				102				68
260				101				6
261				100				17
262				99				73
263				98				24
264				97				63
265				96				7
266				95				52
267				94				66
268				93				1
269				92				2
270				91				37
271				90				2
272				89				24
273				88				0
274				87				80
275				86				56
276				85				40
277				84				21
278				83				59
279				82				24
280				81				37
281				80				57
282				79				10
283				78				72
284				77				13
285				76				72
286				75				70
287				74				37
288				73				47
289				72				71
290				71				43
291				70				51
292				69				16
293				68				10
294				67				14
295				66				44
296				65				47
297				64				2
298				63				9
299				62				45
300				61				41
301				60				3
302				59				33
303				58				7
304				57				54
305				56				30
306				55				12
307				54				23
308				53				8
309				52				31
310				51				31
311				50				13
312				49				15
313				48				19
314				47				32
315				46				43
316				45				17
317				44				2
318				43				18
319				42				36
320				41				13
321				40				38
322				39				20
323				38				28
324				37				0
325				36				10
326				35				31
327				34				32
328				33				19
329				32				19
330				31				8
331				30				25
332				29				2
333				28				2
334				27				21
335				26				24
336				25				13
337				24				12
338				23				1
339				22				6
340				21				15
341				20				10
342				19				13
343				18				17
344				17				0
345				16				7
346				15				12
347				14				0
348				13				12
349				12				2
350				11				3
351				10				4
352				9				7
353				8				4
354				7				2
355				6				5
356				5				3
357				4				0
358				3				2
359				2				1
360				1				0
